AddedSqFt,AddressDescription,AppliedDate,COIssuedDate,CompletedDate,Description,EstProjectCost,EstProjectCostDEC,EstProjectCostText,ExpiresDate,Fee,HoldDate,IssuedDate,LastUpdated,Link,MasterPermitNum,NumberOfBathrooms,NumberOfBedrooms,NumberOfUnits,OriginalAddress1,OriginalAddress2,OriginalCity,OriginalState,OriginalZip,PIN,PermitClass,PermitClassMapped,PermitNum,PermitType,PermitTypeDesc,PermitTypeMapped,ProjectID,ProjectName,ProposedUsed,Publisher,StatusCurrent,StatusCurrentMapped,StatusDate,TotalAccSqFt,TotalFinishedSqFt,TotalHeatedSqFt,TotalSqFt,TotalUnHeatedSqFt,TotalUnfinishedSqFt,Units,VoidDate,WorkClass,WorkClassMapped,_id
,007000,2025-04-03,,2025-05-01,"AMMR for A2L refrigerant riser configuration in the UFAS ground floor units. See attached narrative letter. AMMR applies to the following buildings:

1) BLD-24-0504042 - Building 1
2) BLD-24-0504046 - Building 2
3) BLD-24-0504047 - Building 3
4) BLD-24-0504049 - Building 4
5) BLD-24-0504051 - Building 5
6) BLD-24-0504053 - Building 6",0.0,0.0,0.0,,892.78,,,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,2302 Hillsborough Ave E ,,Tampa,FL,33610,,AMMR-CI,,CBO-25-0000040,Alternative Methods and Materials Request or Code Interpretation,,Other,,AMMR: Buildings 1-6: A2L Refrigerant Riser,,TAMPA,Complete,Permit Finaled,2025-05-01,,,,,,,,,,,80688
,001110,2025-04-03,,2025-04-17,R/R 4sq Flat Roof FL5680.2,0.0,0.0,0.0,2026-04-17,181.43,,2025-04-03,2025-04-19,https://aca.tampagov.net/citizenaccess/,,,,,3107 San Carlos St W ,,Tampa,FL,33629,182927ZZZ000005499700A,Residential,Residential,BTR-25-0605042,Residential Roof Trade Permit,,Roof,,3107 W San Carlos St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-17,,,,,,,,,,,80704
,007000,2025-04-03,,2025-05-15,Permanent power pole 200 amp,0.0,0.0,0.0,2025-11-11,50.0,,,2025-05-17,https://aca.tampagov.net/citizenaccess/,,,,,6918 Florida Ave N ,,Tampa,FL,33604,1828254E3000004000010A,Commercial,Non-Residential,BLD-25-0515095,Commercial Miscellaneous Permit,,Other,,Power Pole,,TAMPA,Withdrawn,Permit Cancelled,2025-05-15,,,,,,,1,,,,80706
,006000,2025-04-03,,2025-06-20,Install a burglar alarm and CCTV system.  All low voltage.,0.0,0.0,0.0,2026-06-20,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,1,4010 Boy Scout Blvd W ,,Tampa,FL,33607,1829169TE000000000010A,Commercial,Non-Residential,BTR-25-0605048,Commercial Electrical Trade Permit,,Electrical,,4010 W Boy Scout Blvd (ACA),,TAMPA,Complete,Permit Finaled,2025-06-20,,,,,,,,,,,80711
,001110,2025-04-03,,2025-07-24,Tear off roof/ install new roof,0.0,0.0,0.0,2026-07-24,181.43,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,2110 Saint Isabel St W ,,Tampa,FL,33607,1829113J6000009000050A,Residential,Residential,BTR-25-0605072,Residential Roof Trade Permit,,Roof,,2110 W Saint Isabel St (ACA),,TAMPA,Complete,Permit Finaled,2025-07-24,,,,,,,,,,,80721
,001110,2025-04-03,,2025-04-28,"Tear off existing metal roof.
Install new decking to existing structure and up to 10 LF of Facia
Install metal drip edge in accordance with Florida Building code
Replace all plumbing & goose neck vent(s) stacks with new
Install Moisture barrier Peel and Stick on decking of roof
Install 26 gauge standing seam metal roof over underlayment
Pitch/Slope 4/12",0.0,0.0,0.0,2026-04-28,181.43,,2025-04-03,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,2712 Annie St E ,,Tampa,FL,33612,19282045V000002000110A,Residential,Residential,BTR-25-0605095,Residential Roof Trade Permit,,Roof,,2712 E Annie St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-28,,,,,,,,,,,80722
,001110,2025-04-03,,2025-04-25,Reroof  23 sq. flat roof with CertainTeed Modified FL2533.1 R32,0.0,0.0,0.0,2026-04-25,181.43,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,8020 Lynn Ave N ,,Tampa,FL,33604,1828253EWA00000000220A,Residential,Residential,BTR-25-0605045,Residential Roof Trade Permit,,Roof,,8020 N Lynn Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-25,,,,,,,,,,,80732
,,2025-04-03,,2025-04-14,"replacing (1) 60amp heat strip breaker and replacing #10 THHN wire to #6 THHN for new HVAC system.
 Unit #2 recently installed with building permit below

BTR-25-0594312",0.0,0.0,0.0,2026-04-14,124.0,,2025-04-03,2025-04-15,https://aca.tampagov.net/citizenaccess/,,,,1,214 Hyde Park Ave S ,,Tampa,FL,33606,182924501000002000090A,Commercial,Non-Residential,BTR-25-0605010,Commercial Electrical Trade Permit,,Electrical,,214 S Hyde Park Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-14,,,,,,,,,,,80733
,001110,2025-04-03,,2025-04-14,"Re-Roofing, shingle to shingle like to like replacement",0.0,0.0,0.0,2026-04-14,181.43,,2025-04-03,2025-04-15,https://aca.tampagov.net/citizenaccess/,,,,,4737 Whiteway Dr E ,,Tampa,FL,33617,19281642V000000000030A,Residential,Residential,BTR-25-0605068,Residential Roof Trade Permit,,Roof,,4737 E Whiteway Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-04-14,,,,,,,,,,,80748
,,2025-04-03,,2025-04-24,"Bldg B Unit 208
Supply and install One- 2 ton S/C, 14.5 seer2 with 5kw heat like for like change out only",0.0,0.0,0.0,2026-04-24,166.05,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,1,4220 Patsy Ct  2208,,Tampa,FL,33610,192833ZZZ000005697300A,Commercial,Non-Residential,BTR-25-0605075,Commercial Mechanical Trade Permit,,Mechanical,,4220 Patsy Ct (ACA),,TAMPA,Complete,Permit Finaled,2025-04-24,,,,,,,,,,,80751
,001100,2025-04-03,,2025-04-24,Reroof single family,0.0,0.0,0.0,2026-04-24,181.43,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,8713 Linda Ct N ,,Tampa,FL,33604,19282045S000002000070A,Residential,Residential,BTR-25-0605090,Residential Roof Trade Permit,,Roof,,8713 N Linda Ct (ACA),,TAMPA,Complete,Permit Finaled,2025-04-24,,,,,,,,,,,80752
,001100,2025-04-03,,2025-05-13,"2 -30"" live oaks needs remove -very close to the home",0.0,0.0,0.0,2025-11-16,124.0,,2025-04-04,2025-05-15,https://aca.tampagov.net/citizenaccess/,,,,,8507 Rome Ave N ,,Tampa,FL,33604,1828233E9000029000060A,,,TRE-25-0000648,Tree Removal and Pruning Permit,,Other,,DISAPPROVED - Tree Removal: Live Oak (Specimen),,TAMPA,Complete,Permit Finaled,2025-05-13,,,,,,,,,,,80773
,,2025-04-03,,,screen room mono slab - SPR-25-0000919,0.0,0.0,0.0,2025-10-20,324.74,,2025-04-23,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,19317 Foggy Creek Ln  ,,Tampa,FL,33647,202703D17000004000170A,Residential,Residential,BLD-25-0515083,Residential Miscellaneous Permit,,Other,,FEMA: Screen Enclosure & Slab - SPR-25-0000919,,TAMPA,Issued,Permit Issued,2025-04-23,,,,512,,,,,,,80781
,001110,2025-04-03,,,"Renovation of Drywall, Flooring, Painting, Kitchen Cabinets, Bathroom",0.0,0.0,0.0,2026-02-07,395.79,,2025-07-17,2025-08-05,https://aca.tampagov.net/citizenaccess/,,2.5,3,,4966 Ebensburg Dr  ,,Tampa,FL,33647,1927211CH000005000040A,Residential,Residential,BLD-25-0515088,Residential Building Alterations (Renovations),,Building,,OWNER-Alterations Interior,,TAMPA,Issued,Permit Issued,2025-07-17,,,,500,,,,,,,80793
,001110,2025-04-03,,,In ground swimming pool & spa,0.0,0.0,0.0,,281.88,,,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,2205 Glenwood Dr N ,,Tampa,FL,33602,1829144S0D00000000100A,Site Plan Review,,SPR-25-0001549,Site Plan Review,,Other,,2205 N Glenwood Dr (ACA),,TAMPA,Site Plan Review Complete,Other,2025-04-30,,,,,,,,,,,80796
,001630,2025-04-03,,2025-06-17,Reroof 23 Sq shingles,0.0,0.0,0.0,2026-06-17,181.43,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,137 Danube Ave  ,,Tampa,FL,33606,182925509000013000030A,Residential,Residential,BTR-25-0605059,Residential Roof Trade Permit,,Roof,,137 Danube Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-06-17,,,,,,,,,,,80805
,001100,2025-04-03,,,New Pool and Paver deck,0.0,0.0,0.0,,281.88,,,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,703 Park Ave W ,,Tampa,FL,33602,1829144S0C00000000170A,Site Plan Review,,SPR-25-0001560,Site Plan Review,,Other,,Site Plan Record: Pool with pavers,,TAMPA,Site Plan Review Complete,Other,2025-04-24,,,,,,,,,,,80820
,006370,2025-04-03,,2025-04-04,"(2)Laurel Oaks
-remove by cutting to low stumps.
-overly mature Laurel Oaks with high risk ratings.",0.0,0.0,0.0,2025-10-08,159.0,,2025-04-04,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,2101 Florida Ave N ,,Tampa,FL,33602,1829134XM000004000100A,,,TRE-25-0000646,Tree Removal and Pruning Permit,,Other,,Tree Removal: (7) Laurel Oak (Grand),,TAMPA,Complete,Permit Finaled,2025-04-04,,,,,,,,,,,80827
,001110,2025-04-03,,2025-08-20,replace 2 doors size for size,0.0,0.0,0.0,2026-08-20,248.0,,2025-04-03,2025-08-21,https://aca.tampagov.net/citizenaccess/,,,,,8360 Dunham Station Dr  ,,Tampa,FL,33647,19270271X000006000350A,Residential,Residential,BTR-25-0605046,Residential Building Trade Permit,,Building,,8360 Dunham Station Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-08-20,,,,,,,,,,,80838
,001110,2025-04-03,,,"3-ton 18.5 seer Heat Pump(Split)
AHRI#215429743",0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,1522 River Ln W ,,Tampa,FL,33603,1829023HW000000000380A,Residential,Residential,BTR-25-0605052,Residential Mechanical Trade Permit,,Mechanical,,1522 W River Ln (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,80846
,001110,2025-04-03,,,New SFR to be constructed,0.0,0.0,0.0,,281.88,,,2025-05-29,https://aca.tampagov.net/citizenaccess/,,,,,4819 Sunset Blvd W ,,Tampa,FL,33629,1829323T7000020000370A,Site Plan Review,,SPR-25-0001561,Site Plan Review,,Other,,SPR: New SFR,,TAMPA,Site Plan Review Complete,Other,2025-05-28,,,,,,,,,,,80855
,001100,2025-04-03,,2025-04-07,"On garage, remove 6.4 squares of 5v metal and remove shingles. Install peel and stick underlayment install tuffrib galvalume exposed fastener in 26ga",0.0,0.0,0.0,2026-04-07,181.43,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,218 Comanche Ave W ,,Tampa,FL,33604,1828364FX000038000090A,Residential,Residential,BTR-25-0605084,Residential Roof Trade Permit,,Roof,,218 W Comanche Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-07,,,,,,,,,,,80876
,001110,2025-04-03,,2025-04-29,"We are requesting adjustment to the sediment interceptor swale landward of the seawall in order to avoid critical root zones of existing live oaks, a batch of protected sabal palms that were initially going to be mitigated. We have also added a small circular seating area at the northeast corner of the property. We have also added (8) mature 14"" Caliper live oaks to the property.",0.0,0.0,0.0,,286.2,,,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,5418 Lykes Ln  ,,Tampa,FL,33611,,Revision,,BLD-21-0482451-REV3,Building Plan Revision,,Other,,Revision 3,,TAMPA,Complete,Permit Finaled,2025-04-29,,,,,,,,,,,80878
0,,2025-04-03,,,"*PRIVATE PROVIDER – PLAN REVIEW AND INSPECTIONS*
Construction of new single family two story residence with front porch, rear lanai, 4 bath, 4 bed 2 story detached garage- 1 bath, 1 bed",0.0,0.0,0.0,2026-02-14,2037.73,,2025-04-25,2025-08-26,https://aca.tampagov.net/citizenaccess/,,5,5,1,405 Delaware Ave S ,,Tampa,FL,33606,1829234T0E00000000031A,Residential,Residential,BLD-25-0515089,Residential New Construction and Additions (1 and 2 Family),,Other,,Private Provider: New 2 Story SFR: Detached garage,,TAMPA,Issued,Permit Issued,2025-04-25,,,,4707,,,,,,,80886
,001110,2025-04-03,,2025-04-10,"Replace service and outdoor panel, grounding system and surge protector like for like.",0.0,0.0,0.0,2026-04-10,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,1710 Cherry St W ,,Tampa,FL,33607,1829144PD000005000040A,Residential,Residential,BTR-25-0605028,Residential Electrical Trade Permit,,Electrical,,1710 W Cherry St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-10,,,,,,,,,,,80911
,006000,2025-04-03,,2025-04-14,See attached revision narrative letter,0.0,0.0,0.0,,137.92,,,2025-04-15,https://aca.tampagov.net/citizenaccess/,,,,,2907 Bay To Bay Blvd W ,,Tampa,FL,33629,,Revision,,BLD-25-0513946-REV1,Building Plan Revision,,Other,,Plan Revision,,TAMPA,Complete,Permit Finaled,2025-04-14,,,,,,,,,,,80917
,001110,2025-04-03,,,"2.5-ton 15.2 Seer Heat Pump (Split)
AHRI#215381161",0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,6906 Willow Ave N ,,Tampa,FL,33604,1828263FA000009000190A,Residential,Residential,BTR-25-0604998,Residential Mechanical Trade Permit,,Mechanical,,6906 N Willow Ave (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,81199
,001110,2025-04-03,,2025-04-08,"AC EQUAL CHANGEOUT. 2.5 ton Heatpump. Horizontal Air Handler in 2nd floor attic. Services 2nd floor. Connect back to existing: drain lines, copper refrigerant lines, ductwork, and electrical.",0.0,0.0,0.0,2026-04-08,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,3914 Tacon St W ,,Tampa,FL,33629,1829333TP000056000060A,Residential,Residential,BTR-25-0605001,Residential Mechanical Trade Permit,,Mechanical,,3914 W Tacon St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-08,,,,,,,,,,,81200
,001110,2025-04-03,,2025-04-07,INSTALL OWNER FURNISHED TANKLESS HOT WATER HEATER,0.0,0.0,0.0,2026-04-07,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,3023 Fair Oaks Ave W ,,Tampa,FL,33611,1830033WK000002000210A,Residential,Residential,BTR-25-0605002,Residential Plumbing Trade Permit,,Plumbing,,3023 W Fair Oaks Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-07,,,,,,,,,,,81201
,001140,2025-04-03,,2025-05-29,"ReRoof 58 SQ shingle and 25 SQ modified bitumen.

1+8/12 pitch

(Entire Building)",0.0,0.0,0.0,2026-05-29,181.43,,2025-04-03,2025-05-30,https://aca.tampagov.net/citizenaccess/,,,,,2411 Carolina Ave S ,,Tampa,FL,33629,1829273QE000000000020A,Residential,Residential,BTR-25-0605003,Residential Roof Trade Permit,,Roof,,2411 S Carolina Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-05-29,,,,,,,,,,,81202
,001400,2025-04-03,,2025-04-03,Residential Permit Extension,0.0,0.0,0.0,,41.0,,,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,4851 Gandy Blvd W MSTR,,Tampa,FL,33611,,Residential,Residential,BLDEXT-25-0000873,Residential Permit Extension,,Other,,4851 W Gandy Blvd,,TAMPA,Complete,Permit Finaled,2025-04-03,,,,,,,,,,,81203
,001110,2025-04-03,,,change out garage door size for size 8x8,0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,115 Hiawatha St W ,,Tampa,FL,33604,1828364F1000000000110A,Residential,Residential,BTR-25-0605005,Residential Building Trade Permit,,Building,,115 W Hiawatha St (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,81204
,001110,2025-04-03,,2025-04-28,re-Roof,0.0,0.0,0.0,2026-04-28,181.43,,2025-04-03,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,2002 36th St N ,,Tampa,FL,33605,1929174OD000011000180A,Residential,Residential,BTR-25-0605006,Residential Roof Trade Permit,,Roof,,2002 N 36th St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-28,,,,,,,,,,,81205
,001110,2025-04-03,,2025-04-08,"Add to existing gas system for pool heater, grill and generator (generator permit from 2018).
1-trip",0.0,0.0,0.0,2026-04-08,166.05,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,5116 Homer Ave W ,,Tampa,FL,33629,1829323TA000000000510A,Residential,Residential,BTR-25-0605007,Residential Plumbing Trade Permit,,Plumbing,,5116 W Homer Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-08,,,,,,,,,,,81206
,001110,2025-04-03,,2025-04-04,"40” Live Oak(front left corner of house)
-in effort to reduce likelihood of branch failure toward home… Reduce portion of canopy that extends over roof by approximately 25 to 30% by making approximately (10 to 13) 2 to 3 inch diameter reduction cuts.",0.0,0.0,0.0,2025-10-08,124.0,,2025-04-04,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,814 Newport Ave S ,,Tampa,FL,33606,1829264TC000011000190A,,,TRE-25-0000643,Tree Removal and Pruning Permit,,Other,,Tree Pruning: Live Oak (Grand),,TAMPA,Complete,Permit Finaled,2025-04-04,,,,,,,,,,,81207
,001110,2025-04-03,,2025-04-04,"(7) Laurel Oak (front of commercial property)
-remove by cutting to low stumps.",0.0,0.0,0.0,2025-10-08,159.0,,2025-04-04,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,2409 Armenia Ave N ,,Tampa,FL,33607,1829144PQ000023000110A,,,TRE-25-0000644,Tree Removal and Pruning Permit,,Other,,Tree Removal: (7) Laurel Oak (Grand),,TAMPA,Complete,Permit Finaled,2025-04-04,,,,,,,,,,,81208
,001110,2025-04-03,,,Water Heater Replacement,0.0,0.0,0.0,2026-04-03,124.0,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,3407 Hanna Ave E ,,Tampa,FL,33610,192832485000000000040A,Residential,Residential,BTR-25-0605009,Residential Plumbing Trade Permit,,Plumbing,,3407 E Hanna Ave (ACA),,TAMPA,Issued,Permit Issued,2025-04-03,,,,,,,,,,,81209
,001110,2025-04-03,,,new single family home,0.0,0.0,0.0,,281.88,,,2025-05-15,https://aca.tampagov.net/citizenaccess/,,,,,1105 Peninsular St W ,,Tampa,FL,33603,1829114HD000032000190A,Site Plan Review,,SPR-25-0001548,Site Plan Review,,Other,,New single family home,,TAMPA,Site Plan Review Complete,Other,2025-05-14,,,,,,,,,,,81210
,001100,2025-04-03,,2025-04-22,shingle re roof shingle off shingle on SFR,0.0,0.0,0.0,2026-04-22,181.43,,2025-04-03,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,19245 Early Violet Dr  ,,Tampa,FL,33647,2027049P4D00000000040A,Residential,Residential,BTR-25-0605011,Residential Roof Trade Permit,,Roof,,19245 Early Violet Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-04-22,,,,,,,,,,,81211
,001110,2025-04-03,,2025-04-09,E/C/O OF A 2.5 TON H/P SPLIT SYSTEM,0.0,0.0,0.0,2026-04-09,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,11119 Dixon Ave N ,,Tampa,FL,33612,182813ZZZ000005355200A,Residential,Residential,BTR-25-0605012,Residential Mechanical Trade Permit,,Mechanical,,11119 N Dixon Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-04-09,,,,,,,,,,,81212
,001100,2025-04-03,,2025-05-02,"ReRoof 6 SQ shingle and 8 SQ modified bitumen

0+6/12 pitch",0.0,0.0,0.0,2026-05-02,181.43,,2025-04-03,2025-05-03,https://aca.tampagov.net/citizenaccess/,,,,,2405 Carolina Ave S ,,Tampa,FL,33629,1829273QE000000000024A,Residential,Residential,BTR-25-0605013,Residential Roof Trade Permit,,Roof,,2405 S Carolina Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-05-02,,,,,,,,,,,81213
,005800,2025-04-03,,2025-05-07,Renovations to repair fire damage to building,0.0,0.0,0.0,,235.75,,,2025-05-08,https://aca.tampagov.net/citizenaccess/,,,,,2006 50th St N ,,Tampa,FL,33619,,Revision,,BLD-24-0511453-REV1,Building Plan Revision,,Other,,Plan Revision,,TAMPA,Complete,Permit Finaled,2025-05-07,,,,,,,,,,,81214
,001100,2025-04-03,,,Demolition of Existing Home and Driveway,0.0,0.0,0.0,2025-10-27,201.93,,2025-04-14,2025-04-27,https://aca.tampagov.net/citizenaccess/,,,,,4710 San Rafael St W ,,Tampa,FL,33629,1829293SL000018000013A,Residential,Residential,BDE-25-0444527,Residential Demolition Permit,,Demolition,,DEMO SFR,,TAMPA,Issued,Permit Issued,2025-04-14,,,,1612,,,1,,,,81215
0,001110,2025-04-03,,,"*PRIVATE PROVIDER: PLAN REVIEW AND INSPECTIONS*
New 2sty Single Family Residence 4 Bed/ 4 Bath, attached garage, front porch, and rear patio.

SIte Completed: SPR-25-0000432",0.0,0.0,0.0,2026-02-23,1475.33,,2025-05-07,2025-08-21,https://aca.tampagov.net/citizenaccess/,,4,4,1,3217 Oakellar Ave W ,,Tampa,FL,33611,1830033VS000005000250A,Residential,Residential,BLD-25-0515079,Residential New Construction and Additions (1 and 2 Family),,Other,,PRIVATE PROVIDER: New 2 Sty SFR,,TAMPA,Issued,Permit Issued,2025-05-07,,,,3727,,,,,,,81216
,001110,2025-04-03,,2025-04-07,AC CHANGE OUT 3 TON 14.3 SEER HP,0.0,0.0,0.0,2026-04-07,124.0,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,18156 Portside St  ,,Tampa,FL,33647,20270960B000007000260A,Residential,Residential,BTR-25-0605014,Residential Mechanical Trade Permit,,Mechanical,,18156 Portside St (ACA),,TAMPA,Complete,Permit Finaled,2025-04-07,,,,,,,,,,,81217
,001110,2025-04-03,,2025-04-03,Residential Permit Extension,0.0,0.0,0.0,,41.0,,,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,4002 Vasconia St W ,,Tampa,FL,33629,,Residential,Residential,BLDEXT-25-0000875,Residential Permit Extension,,Other,,4002 W Vasconia St,,TAMPA,Complete,Permit Finaled,2025-04-03,,,,,,,,,,,81218
0,004800,2025-04-03,,,Install temporary removable flood protection panel system at special lower level openings per the included system shop drawings. Lower level parking garage openings and openings at the loading dock area.,0.0,0.0,0.0,2025-11-05,2536.26,,,2025-05-11,https://aca.tampagov.net/citizenaccess/,,0,,,200 Ashley Dr N FS,,Tampa,FL,33602,1829244ZI000080000000A,Commercial,Non-Residential,BLD-25-0515081,Commercial Building Alterations (Renovations),,Building,,Install Flood Protection Panels - HOTEL TAMPA RIVERWALK,,TAMPA,Awaiting Client Reply,Other,2025-05-09,,,,80,,,,,,,81219
,001110,2025-04-03,,2025-06-05,Tile Roof Replacement,0.0,0.0,0.0,2026-06-05,181.43,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,9310 Deer Creek Dr  ,,Tampa,FL,33647,20271823T000000000050A,Residential,Residential,BTR-25-0605016,Residential Roof Trade Permit,,Roof,,9310 Deer Creek Dr (ACA),,TAMPA,Complete,Permit Finaled,2025-06-05,,,,,,,,,,,81220
,001110,2025-04-03,,2025-04-07,"RE ROOF 21 TOTAL SQUARES 
17 SQUARES TAMKO ALSPHALT SHINGLE-R1 FL18355R12 CertainTeed Underlayment Systems NOA No. FL10626-R28
4 SQUARES GAF Liberty™ SBS Self-Adhering Modified Bitumen Roofing Systems NOA No.: FL 2533-R32  CertainTeed Underlayment Systems NOA No. FL10626-R28",0.0,0.0,0.0,2026-04-07,181.43,,2025-04-03,2025-04-12,https://aca.tampagov.net/citizenaccess/,,,,,6915 River Blvd N ,,Tampa,FL,33604,1828254E300000400004BA,Residential,Residential,BTR-25-0605017,Residential Roof Trade Permit,,Roof,,6915 N River Blvd (ACA),,TAMPA,Complete,Permit Finaled,2025-04-07,,,,,,,,,,,81221
,001110,2025-04-03,,2025-07-02,"*INSTALLATION OF GAF ENERGY TIMBERLINE SOLAR ASPHALT AND ENERGY SHINGLES* T/O SHINGLE ROOF. RE-NAIL DECK TO CODE. DRY IN WITH GAF STORMGUARD (FL10626.2) INSTALL GAF TIMBERLINE SHINGLES (FL10124.2) 75 SQ, 8/12, 2 STORY.",0.0,0.0,0.0,2026-07-02,181.43,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,3417 Almeria Ave S ,,Tampa,FL,33629,1829273Q3000001000070A,Residential,Residential,BTR-25-0605018,Residential Roof Trade Permit,,Roof,,3417 S Almeria Ave (ACA),,TAMPA,Complete,Permit Finaled,2025-07-02,,,,,,,,,,,81222
,,2025-04-03,,,Inground swimming pool & spa,0.0,0.0,0.0,,281.88,,,2025-05-07,https://aca.tampagov.net/citizenaccess/,,,,,708 Kentucky Ave W ,,Tampa,FL,33603,1829114HA000017000041A,Site Plan Review,,SPR-25-0001550,Site Plan Review,,Other,,SPR - Inground Pool and Spa with Decking,,TAMPA,Site Plan Review Complete,Other,2025-05-06,,,,,,,,,,,81223
,,2025-04-03,,2025-06-04,"Replace like for like meter center for BLDG 19, units 1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912",0.0,0.0,0.0,2026-06-04,124.0,,2025-04-03,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,1,15501 Bruce B Downs Blvd  1901,,Tampa,FL,33613,192804ZZZ000001248600A,Commercial,Non-Residential,BTR-25-0605019,Commercial Electrical Trade Permit,,Electrical,,15501 Bruce B Downs Blvd (ACA),,TAMPA,Complete,Permit Finaled,2025-06-04,,,,,,,,,,,81224
,001110,2025-04-03,,2025-05-14,shingle re-roof,0.0,0.0,0.0,2026-05-14,181.43,,2025-04-03,2025-05-15,https://aca.tampagov.net/citizenaccess/,,,,,6814 Juanita St S ,,Tampa,FL,33616,18301742H000050000101A,Residential,Residential,BTR-25-0605022,Residential Roof Trade Permit,,Roof,,6814 S Juanita St (ACA),,TAMPA,Complete,Permit Finaled,2025-05-14,,,,,,,,,,,81225
,001110,2025-04-03,,2025-04-15,Preliminary Plan Review,0.0,0.0,0.0,,281.88,,,2025-04-16,https://aca.tampagov.net/citizenaccess/,,,,,2507 Shell Point Rd W ,,Tampa,FL,33611,18301140O000006000056A,Preliminary Plan Review,,PPR-25-0000014,Preliminary Plan Review,,Other,,2507 W Shell Point Rd (ACA),,TAMPA,Withdrawn,Permit Cancelled,2025-04-15,,,,,,,,,,,81226
,001100,2025-04-03,,,"A 20' by 37' concrete slab
A 20' by 37' steel shed",0.0,0.0,0.0,,401.88,,,2025-08-05,https://aca.tampagov.net/citizenaccess/,,,,,2006 Yukon St E ,,Tampa,FL,33604,192819457F00000000290A,Site Plan Review,,SPR-25-0001551,Site Plan Review,,Other,,Site Plan review - steel shed,,TAMPA,Site Plan Review Complete,Other,2025-07-23,,,,0,,,,,,,81227
